role,years_experience,count
Data Analytics/Business Intelligence,0 to 2 years,7
Data Analytics/Business Intelligence,2 to 5 years,3
Data Analytics/Business Intelligence,5+ years,4
Data Engineering,0 to 2 years,1
Data Engineering,2 to 5 years,1
Data Engineering,5+ years,3
Data Science,0 to 2 years,3
Data Science,2 to 5 years,1
Data Science,5+ years,9
Machine Learning Engineering,2 to 5 years,2
Machine Learning Engineering,5+ years,2
Other,0 to 2 years,5
Other,5+ years,2
