orig_role,mapped_role
"Search  Relevance, so  it's hard to classify","Other"
"Machine learning research; Science that generates lots of data","Other"
"Salesforce development","Other"
"Programming / Developer work","Other"
"Business management ","Other"
"Machine Learning Research & Education","Data Science"
"Teaching (looking to transition into data engineering)","Other"
